point_number,slip_ratio,normalized_force
1.000000000000000000e+00,1.260000000000000182e-02,4.144376115266826810e-01
2.000000000000000000e+00,1.423800000000000066e-01,1.159999999956765393e+00
3.000000000000000000e+00,8.680300000000000793e-01,9.672918904823366582e-01
