slip_ratio,pacejka_fx_over_fz,linear_fx_over_fz,linear_error
7.600000000000000418e-04,2.638887837953760723e-02,2.499782418732371392e-02,-1.391054192213893315e-03
7.700000000000000681e-04,2.673595356592556316e-02,2.532674292663060489e-02,-1.409210639294958267e-03
7.800000000000000943e-04,2.708302299391492432e-02,2.565566166593749586e-02,-1.427361327977428457e-03
7.900000000000000121e-04,2.743008658886993828e-02,2.598458040524438337e-02,-1.445506183625554913e-03
8.000000000000000383e-04,2.777714427616057372e-02,2.631349914455127781e-02,-1.463645131609295907e-03
8.100000000000000646e-04,2.812419598116262104e-02,2.664241788385816878e-02,-1.481778097304452257e-03
8.200000000000000908e-04,2.847124162925779647e-02,2.697133662316505975e-02,-1.499905006092736720e-03
8.300000000000001170e-04,2.881828114583375247e-02,2.730025536247195073e-02,-1.518025783361801745e-03
8.400000000000000348e-04,2.916531445628418873e-02,2.762917410177884170e-02,-1.536140354505347028e-03
8.500000000000000611e-04,2.951234148600894933e-02,2.795809284108573267e-02,-1.554248644923216655e-03
8.600000000000000873e-04,2.985936216041401234e-02,2.828701158039262364e-02,-1.572350580021388694e-03
8.700000000000001135e-04,3.020637640491167022e-02,2.861593031969951462e-02,-1.590446085212155608e-03
8.800000000000000313e-04,3.055338414492050556e-02,2.894484905900640559e-02,-1.608535085914099966e-03
8.900000000000000576e-04,3.090038530586555407e-02,2.927376779831329656e-02,-1.626617507552257508e-03
9.000000000000000838e-04,3.124737981317828733e-02,2.960268653762018753e-02,-1.644693275558099799e-03
9.100000000000001100e-04,3.159436759229677233e-02,2.993160527692707851e-02,-1.662762315369693822e-03
9.200000000000000278e-04,3.194134856866565064e-02,3.026052401623396601e-02,-1.680824552431684632e-03
9.300000000000000541e-04,3.228832266773633969e-02,3.058944275554086045e-02,-1.698879912195479236e-03
9.400000000000000803e-04,3.263528981496697373e-02,3.091836149484775143e-02,-1.716928320119222307e-03
9.500000000000001065e-04,3.298224993582254960e-02,3.124728023415464240e-02,-1.734969701667907205e-03
9.600000000000001327e-04,3.332920295577496139e-02,3.157619897346153337e-02,-1.753003982313428022e-03
9.700000000000000505e-04,3.367614880030313923e-02,3.190511771276842434e-02,-1.771031087534714887e-03
9.800000000000001852e-04,3.402308739489306316e-02,3.223403645207531532e-02,-1.789050942817747847e-03
9.899999999999999946e-04,3.437001866503783948e-02,3.256295519138220629e-02,-1.807063473655633190e-03
1.000000000000000021e-03,3.471694253623779786e-02,3.289187393068909726e-02,-1.825068605548700595e-03
1.010000000000000047e-03,3.506385893400055381e-02,3.322079266999598823e-02,-1.843066264004565580e-03
1.020000000000000073e-03,3.541076778384109197e-02,3.354971140930287921e-02,-1.861056374538212765e-03
1.030000000000000100e-03,3.575766901128179381e-02,3.387863014860977018e-02,-1.879038862672023635e-03
1.040000000000000126e-03,3.610456254185258340e-02,3.420754888791666115e-02,-1.897013653935922251e-03
1.050000000000000152e-03,3.645144830109094819e-02,3.453646762722355212e-02,-1.914980673867396066e-03
1.060000000000000178e-03,3.679832621454201536e-02,3.486538636653044310e-02,-1.932939848011572259e-03
1.069999999999999988e-03,3.714519620775864894e-02,3.519430510583732713e-02,-1.950891101921321813e-03
1.080000000000000014e-03,3.749205820630153313e-02,3.552322384514422504e-02,-1.968834361157308088e-03
1.090000000000000040e-03,3.783891213573917223e-02,3.585214258445111601e-02,-1.986769551288056213e-03
1.100000000000000066e-03,3.818575792164802946e-02,3.618106132375800699e-02,-2.004696597890022469e-03
1.110000000000000092e-03,3.853259548961261022e-02,3.650998006306489796e-02,-2.022615426547712258e-03
1.120000000000000119e-03,3.887942476522547597e-02,3.683889880237178893e-02,-2.040525962853687036e-03
1.130000000000000145e-03,3.922624567408736912e-02,3.716781754167867990e-02,-2.058428132408689215e-03
1.140000000000000171e-03,3.957305814180726161e-02,3.749673628098557088e-02,-2.076321860821690735e-03
1.150000000000000197e-03,3.991986209400241736e-02,3.782565502029246185e-02,-2.094207073709955513e-03
1.160000000000000007e-03,4.026665745629848941e-02,3.815457375959935282e-02,-2.112083696699136592e-03
1.170000000000000033e-03,4.061344415432961708e-02,3.848349249890624379e-02,-2.129951655423373280e-03
1.180000000000000059e-03,4.096022211373841204e-02,3.881241123821313477e-02,-2.147810875525277274e-03
1.190000000000000085e-03,4.130699126017611106e-02,3.914132997752002574e-02,-2.165661282656085318e-03
1.200000000000000112e-03,4.165375151930261755e-02,3.947024871682691671e-02,-2.183502802475700832e-03
1.210000000000000138e-03,4.200050281678657793e-02,3.979916745613380769e-02,-2.201335360652770246e-03
1.220000000000000164e-03,4.234724507830543716e-02,4.012808619544069866e-02,-2.219158882864738502e-03
1.230000000000000190e-03,4.269397822954558441e-02,4.045700493474758963e-02,-2.236973294797994782e-03
1.240000000000000000e-03,4.304070219620229065e-02,4.078592367405447366e-02,-2.254778522147816988e-03
1.250000000000000026e-03,4.338741690397993067e-02,4.111484241336137158e-02,-2.272574490618559095e-03
1.260000000000000052e-03,4.373412227859196227e-02,4.144376115266826255e-02,-2.290361125923699726e-03
1.270000000000000078e-03,4.408081824576099567e-02,4.177267989197515352e-02,-2.308138353785842145e-03
1.280000000000000105e-03,4.442750473121893223e-02,4.210159863128204449e-02,-2.325906099936887739e-03
1.290000000000000131e-03,4.477418166070698535e-02,4.243051737058893547e-02,-2.343664290118049887e-03
1.300000000000000157e-03,4.512084895997573591e-02,4.275943610989582644e-02,-2.361412850079909476e-03
1.310000000000000183e-03,4.546750655478529191e-02,4.308835484920271741e-02,-2.379151705582574494e-03
1.320000000000000210e-03,4.581415437090524678e-02,4.341727358850960838e-02,-2.396880782395638398e-03
1.330000000000000019e-03,4.616079233411483906e-02,4.374619232781649242e-02,-2.414600006298346646e-03
1.340000000000000045e-03,4.650742037020300784e-02,4.407511106712339033e-02,-2.432309303079617513e-03
1.350000000000000071e-03,4.685403840496841360e-02,4.440402980643028130e-02,-2.450008598538132298e-03
1.360000000000000098e-03,4.720064636421957005e-02,4.473294854573717227e-02,-2.467697818482397776e-03
1.370000000000000124e-03,4.754724417377490658e-02,4.506186728504406325e-02,-2.485376888730843337e-03
1.380000000000000150e-03,4.789383175946280990e-02,4.539078602435095422e-02,-2.503045735111855685e-03
1.390000000000000176e-03,4.824040904712168648e-02,4.571970476365784519e-02,-2.520704283463841289e-03
1.400000000000000203e-03,4.858697596260014989e-02,4.604862350296473616e-02,-2.538352459635413727e-03
1.410000000000000012e-03,4.893353243175690981e-02,4.637754224227162020e-02,-2.555990189485289610e-03
1.420000000000000038e-03,4.928007838046102179e-02,4.670646098157851811e-02,-2.573617398882503682e-03
1.430000000000000064e-03,4.962661373459183872e-02,4.703537972088540908e-02,-2.591234013706429640e-03
1.440000000000000091e-03,4.997313842003912182e-02,4.736429846019230006e-02,-2.608839959846821765e-03
1.450000000000000117e-03,5.031965236270314473e-02,4.769321719949919103e-02,-2.626435163203953704e-03
1.460000000000000143e-03,5.066615548849467965e-02,4.802213593880608200e-02,-2.644019549688597648e-03
1.470000000000000169e-03,5.101264772333519160e-02,4.835105467811297297e-02,-2.661593045222218623e-03
1.480000000000000196e-03,5.135912899315678987e-02,4.867997341741986395e-02,-2.679155575736925921e-03
1.490000000000000222e-03,5.170559922390241536e-02,4.900889215672675492e-02,-2.696707067175660444e-03
1.500000000000000031e-03,5.205205834152576427e-02,4.933781089603363895e-02,-2.714247445492125321e-03
1.510000000000000057e-03,5.239850627199154481e-02,4.966672963534053686e-02,-2.731776636651007950e-03
1.520000000000000084e-03,5.274494294127537314e-02,4.999564837464742784e-02,-2.749294566627945302e-03
1.530000000000000110e-03,5.309136827536399539e-02,5.032456711395431881e-02,-2.766801161409676579e-03
1.540000000000000136e-03,5.343778220025521830e-02,5.065348585326120978e-02,-2.784296346994008520e-03
1.550000000000000162e-03,5.378418464195811044e-02,5.098240459256810075e-02,-2.801780049390009686e-03
1.560000000000000189e-03,5.413057552649298831e-02,5.131132333187499173e-02,-2.819252194617996587e-03
1.570000000000000215e-03,5.447695477989149271e-02,5.164024207118188270e-02,-2.836712708709610009e-03
1.580000000000000024e-03,5.482332232819675522e-02,5.196916081048876673e-02,-2.854161517707988482e-03
1.590000000000000050e-03,5.516967809746331497e-02,5.229807954979566464e-02,-2.871598547667650325e-03
1.600000000000000077e-03,5.551602201375732681e-02,5.262699828910255562e-02,-2.889023724654771197e-03
1.610000000000000103e-03,5.586235400315657518e-02,5.295591702840944659e-02,-2.906436974747128588e-03
1.620000000000000129e-03,5.620867399175052265e-02,5.328483576771633756e-02,-2.923838224034185085e-03
1.630000000000000155e-03,5.655498190564043487e-02,5.361375450702322853e-02,-2.941227398617206334e-03
1.640000000000000182e-03,5.690127767093944300e-02,5.394267324633011951e-02,-2.958604424609323491e-03
1.650000000000000208e-03,5.724756121377255758e-02,5.427159198563701048e-02,-2.975969228135547096e-03
1.660000000000000234e-03,5.759383246027678649e-02,5.460051072494390145e-02,-2.993321735332885036e-03
1.670000000000000043e-03,5.794009133660124600e-02,5.492942946425078549e-02,-3.010661872350460511e-03
