point_number,slip_angle_rad,slip_angle_deg,normalized_force
1.000000000000000000e+00,1.524196035766647687e-02,8.732999999999998542e-01,2.603003195944619264e-01
2.000000000000000000e+00,1.066151826873256020e-01,6.108599999999999142e+00,6.889999999983795753e-01
3.000000000000000000e+00,4.423676615519787081e-01,2.534579999999999700e+01,5.751941678824433746e-01
