slip_angle_rad,slip_angle_deg,pacejka_fy_magnitude_over_fz,linear_fy_magnitude_over_fz,linear_error
2.199114857512854838e-04,1.259999999999999835e-02,3.954374671176660340e-03,3.755621237707798543e-03,-1.987534334688617968e-04
2.251474735072684741e-04,1.289999999999999827e-02,4.048524263267802917e-03,3.845040790986555858e-03,-2.034834722812470589e-04
2.303834612632514644e-04,1.319999999999999819e-02,4.142673701070907419e-03,3.934460344265313173e-03,-2.082133568055942463e-04
2.356194490192344546e-04,1.349999999999999811e-02,4.236822980998262121e-03,4.023879897544070487e-03,-2.129430834541916340e-04
2.408554367752174449e-04,1.379999999999999803e-02,4.330972099462183054e-03,4.113299450822826935e-03,-2.176726486393561200e-04
2.460914245312004352e-04,1.409999999999999795e-02,4.425121052875014872e-03,4.202719004101584249e-03,-2.224020487734306231e-04
2.513274122871834255e-04,1.439999999999999787e-02,4.519269837649129117e-03,4.292138557380341564e-03,-2.271312802687875526e-04
2.565634000431664158e-04,1.469999999999999953e-02,4.613418450196926819e-03,4.381558110659098879e-03,-2.318603395378279405e-04
2.617993877991494061e-04,1.499999999999999944e-02,4.707566886930833298e-03,4.470977663937856193e-03,-2.365892229929771051e-04
2.670353755551323964e-04,1.529999999999999936e-02,4.801715144263307700e-03,4.560397217216613508e-03,-2.413179270466941917e-04
2.722713633111153867e-04,1.559999999999999928e-02,4.895863218606839526e-03,4.649816770495369955e-03,-2.460464481114695706e-04
2.775073510670983770e-04,1.589999999999999747e-02,4.990011106373947770e-03,4.739236323774127270e-03,-2.507747825998205005e-04
2.827433388230813130e-04,1.619999999999999565e-02,5.084158803977178315e-03,4.828655877052883717e-03,-2.555029269242945975e-04
2.879793265790643033e-04,1.649999999999999731e-02,5.178306307829117806e-03,4.918075430331641032e-03,-2.602308774974767744e-04
2.932153143350472936e-04,1.679999999999999549e-02,5.272453614342380648e-03,5.007494983610398347e-03,-2.649586307319823017e-04
2.984513020910302839e-04,1.709999999999999715e-02,5.366600719929610734e-03,5.096914536889154794e-03,-2.696861830404559401e-04
3.036872898470132742e-04,1.739999999999999533e-02,5.460747621003492723e-03,5.186334090167912109e-03,-2.744135308355806144e-04
3.089232776029962645e-04,1.769999999999999699e-02,5.554894313976741632e-03,5.275753643446669423e-03,-2.791406705300722088e-04
3.141592653589792548e-04,1.799999999999999517e-02,5.649040795262108040e-03,5.365173196725426738e-03,-2.838675985366813023e-04
3.193952531149622451e-04,1.829999999999999682e-02,5.743187061272376354e-03,5.454592750004184053e-03,-2.885943112681923009e-04
3.246312408709452354e-04,1.859999999999999848e-02,5.837333108420371744e-03,5.544012303282940500e-03,-2.933208051374312439e-04
3.298672286269282257e-04,1.889999999999999666e-02,5.931478933118948874e-03,5.633431856561697815e-03,-2.980470765572510589e-04
3.351032163829112159e-04,1.919999999999999832e-02,6.025624531781009242e-03,5.722851409840455129e-03,-3.027731219405541130e-04
3.403392041388942062e-04,1.949999999999999650e-02,6.119769900819480371e-03,5.812270963119212444e-03,-3.074989377002679269e-04
3.455751918948771965e-04,1.979999999999999816e-02,6.213915036647340955e-03,5.901690516397969759e-03,-3.122245202493711957e-04
3.508111796508601868e-04,2.009999999999999634e-02,6.308059935677598311e-03,5.991110069676727073e-03,-3.169498660008712373e-04
3.560471674068431771e-04,2.039999999999999800e-02,6.402204594323308330e-03,6.080529622955483521e-03,-3.216749713678248093e-04
3.612831551628261674e-04,2.069999999999999618e-02,6.496349008997558995e-03,6.169949176234240835e-03,-3.263998327633181595e-04
3.665191429188091577e-04,2.099999999999999784e-02,6.590493176113484258e-03,6.259368729512998150e-03,-3.311244466004861081e-04
3.717551306747921480e-04,2.129999999999999949e-02,6.684637092084257971e-03,6.348788282791755465e-03,-3.358488092925025065e-04
3.769911184307751383e-04,2.159999999999999767e-02,6.778780753323098221e-03,6.438207836070512780e-03,-3.405729172525854415e-04
3.822271061867581286e-04,2.189999999999999933e-02,6.872924156243262125e-03,6.527627389349269227e-03,-3.452967668939928986e-04
3.874630939427411189e-04,2.219999999999999751e-02,6.967067297258051038e-03,6.617046942628026542e-03,-3.500203546300244967e-04
3.926990816987240549e-04,2.249999999999999570e-02,7.061210172780813150e-03,6.706466495906782989e-03,-3.547436768740301616e-04
3.979350694547070452e-04,2.279999999999999388e-02,7.155352779224940021e-03,6.795886049185540304e-03,-3.594667300393997178e-04
4.031710572106900355e-04,2.309999999999999554e-02,7.249495113003866578e-03,6.885305602464297618e-03,-3.641895105395689600e-04
4.084070449666730258e-04,2.339999999999999372e-02,7.343637170531073718e-03,6.974725155743054066e-03,-3.689120147880196529e-04
4.136430327226560161e-04,2.369999999999999538e-02,7.437778948220093514e-03,7.064144709021811380e-03,-3.736342391982821337e-04
4.188790204786390064e-04,2.399999999999999703e-02,7.531920442484495333e-03,7.153564262300568695e-03,-3.783561801839266381e-04
4.241150082346219967e-04,2.429999999999999521e-02,7.626061649737904923e-03,7.242983815579326010e-03,-3.830778341585789129e-04
4.293509959906049870e-04,2.459999999999999687e-02,7.720202566393992265e-03,7.332403368858083324e-03,-3.877991975359089405e-04
