slip_angle_deg,slip_angle_rad,normalized_fy
-2.382000000000000028e+01,-4.157374278250492994e-01,9.839493711169305934e-01
-2.375999999999999801e+01,-4.146902302738526558e-01,9.842492099380240056e-01
-2.369999999999999929e+01,-4.136430327226560677e-01,9.845500926859582780e-01
-2.364000000000000057e+01,-4.125958351714595351e-01,9.848520216143357153e-01
-2.357999999999999829e+01,-4.115486376202628915e-01,9.851549989231505045e-01
-2.351999999999999957e+01,-4.105014400690663035e-01,9.854590267569613982e-01
-2.346000000000000085e+01,-4.094542425178697154e-01,9.857641072030189910e-01
-2.339999999999999858e+01,-4.084070449666730718e-01,9.860702422893448116e-01
-2.333999999999999986e+01,-4.073598474154765392e-01,9.863774339827611204e-01
-2.328000000000000114e+01,-4.063126498642799511e-01,9.866856841868724137e-01
-2.321999999999999886e+01,-4.052654523130833075e-01,9.869949947399931922e-01
-2.316000000000000014e+01,-4.042182547618867194e-01,9.873053674130254365e-01
-2.310000000000000142e+01,-4.031710572106901314e-01,9.876168039072807936e-01
-2.303999999999999915e+01,-4.021238596594934878e-01,9.879293058522480298e-01
-2.298000000000000043e+01,-4.010766621082969552e-01,9.882428748033051935e-01
-2.292000000000000171e+01,-4.000294645571003671e-01,9.885575122393710501e-01
-2.285999999999999943e+01,-3.989822670059037235e-01,9.888732195605002273e-01
-2.280000000000000071e+01,-3.979350694547071354e-01,9.891899980854154117e-01
-2.274000000000000199e+01,-3.968878719035105473e-01,9.895078490489787049e-01
-2.267999999999999972e+01,-3.958406743523139593e-01,9.898267735995978089e-01
-2.262000000000000099e+01,-3.947934768011173712e-01,9.901467727965678201e-01
-2.256000000000000227e+01,-3.937462792499207831e-01,9.904678476073451865e-01
-2.250000000000000000e+01,-3.926990816987241395e-01,9.907899989047536105e-01
-2.244000000000000128e+01,-3.916518841475275514e-01,9.911132274641192286e-01
-2.237999999999999901e+01,-3.906046865963309078e-01,9.914375339603332948e-01
-2.232000000000000028e+01,-3.895574890451343752e-01,9.917629189648413668e-01
-2.226000000000000156e+01,-3.885102914939377872e-01,9.920893829425566635e-01
-2.219999999999999929e+01,-3.874630939427411436e-01,9.924169262486957077e-01
-2.214000000000000057e+01,-3.864158963915445555e-01,9.927455491255334774e-01
-2.207999999999999829e+01,-3.853686988403479119e-01,9.930752516990787315e-01
-2.201999999999999957e+01,-3.843215012891513793e-01,9.934060339756639602e-01
-2.196000000000000085e+01,-3.832743037379547912e-01,9.937378958384507355e-01
-2.189999999999999858e+01,-3.822271061867581476e-01,9.940708370438471331e-01
-2.183999999999999986e+01,-3.811799086355615596e-01,9.944048572178343370e-01
-2.178000000000000114e+01,-3.801327110843649715e-01,9.947399558522014296e-01
-2.171999999999999886e+01,-3.790855135331683834e-01,9.950761323006865888e-01
-2.166000000000000014e+01,-3.780383159819717953e-01,9.954133857750190328e-01
-2.160000000000000142e+01,-3.769911184307752072e-01,9.957517153408649291e-01
-2.153999999999999915e+01,-3.759439208795785636e-01,9.960911199136674998e-01
-2.148000000000000043e+01,-3.748967233283819755e-01,9.964315982543867634e-01
-2.142000000000000171e+01,-3.738495257771854430e-01,9.967731489651289190e-01
-2.135999999999999943e+01,-3.728023282259887994e-01,9.971157704846690395e-01
-2.130000000000000071e+01,-3.717551306747922113e-01,9.974594610838583009e-01
-2.124000000000000199e+01,-3.707079331235956232e-01,9.978042188609189678e-01
-2.117999999999999972e+01,-3.696607355723989796e-01,9.981500417366200306e-01
-2.112000000000000099e+01,-3.686135380212023915e-01,9.984969274493306068e-01
-2.106000000000000227e+01,-3.675663404700058590e-01,9.988448735499516618e-01
-2.100000000000000000e+01,-3.665191429188092154e-01,9.991938773967189436e-01
-2.093999999999999773e+01,-3.654719453676125718e-01,9.995439361498762443e-01
-2.088000000000000256e+01,-3.644247478164160392e-01,9.998950467662143238e-01
-2.082000000000000028e+01,-3.633775502652193956e-01,1.000247205993474608e+00
-2.075999999999999801e+01,-3.623303527140227520e-01,1.000600410364609782e+00
-2.070000000000000284e+01,-3.612831551628262750e-01,1.000954656191903380e+00
-2.064000000000000057e+01,-3.602359576116296314e-01,1.001309939560940165e+00
-2.057999999999999829e+01,-3.591887600604329878e-01,1.001666256324424964e+00
-2.051999999999999957e+01,-3.581415625092363997e-01,1.002023602095848620e+00
-2.046000000000000085e+01,-3.570943649580398671e-01,1.002381972242992081e+00
-2.039999999999999858e+01,-3.560471674068432235e-01,1.002741361881270610e+00
-2.033999999999999986e+01,-3.549999698556466354e-01,1.003101765866909245e+00
-2.028000000000000114e+01,-3.539527723044500473e-01,1.003463178789946397e+00
-2.021999999999999886e+01,-3.529055747532534038e-01,1.003825594967065360e+00
-2.016000000000000014e+01,-3.518583772020568157e-01,1.004189008434241748e+00
-2.010000000000000142e+01,-3.508111796508602831e-01,1.004553412939208856e+00
-2.003999999999999915e+01,-3.497639820996636395e-01,1.004918801933735173e+00
-1.998000000000000043e+01,-3.487167845484670514e-01,1.005285168565705378e+00
-1.992000000000000171e+01,-3.476695869972704633e-01,1.005652505671003727e+00
-1.985999999999999943e+01,-3.466223894460738197e-01,1.006020805765195814e+00
-1.980000000000000071e+01,-3.455751918948772872e-01,1.006390061034998062e+00
-1.974000000000000199e+01,-3.445279943436806991e-01,1.006760263329536720e+00
-1.967999999999999972e+01,-3.434807967924840555e-01,1.007131404151385246e+00
-1.962000000000000099e+01,-3.424335992412874674e-01,1.007503474647377217e+00
-1.956000000000000227e+01,-3.413864016900908793e-01,1.007876465599190308e+00
-1.950000000000000000e+01,-3.403392041388942357e-01,1.008250367413691340e+00
-1.944000000000000128e+01,-3.392920065876977032e-01,1.008625170113041092e+00
-1.938000000000000256e+01,-3.382448090365011151e-01,1.009000863324551300e+00
-1.932000000000000028e+01,-3.371976114853044715e-01,1.009377436270284090e+00
-1.925999999999999801e+01,-3.361504139341078279e-01,1.009754877756394054e+00
-1.920000000000000284e+01,-3.351032163829112953e-01,1.010133176162200552e+00
-1.914000000000000057e+01,-3.340560188317147072e-01,1.010512319428986672e+00
-1.907999999999999829e+01,-3.330088212805180636e-01,1.010892295048516853e+00
-1.901999999999999957e+01,-3.319616237293214756e-01,1.011273090051266310e+00
-1.896000000000000085e+01,-3.309144261781248875e-01,1.011654690994355565e+00
-1.889999999999999858e+01,-3.298672286269282439e-01,1.012037083949181904e+00
-1.883999999999999986e+01,-3.288200310757317113e-01,1.012420254488740401e+00
-1.878000000000000114e+01,-3.277728335245351232e-01,1.012804187674626100e+00
-1.871999999999999886e+01,-3.267256359733384796e-01,1.013188868043712443e+00
-1.866000000000000014e+01,-3.256784384221418915e-01,1.013574279594492644e+00
-1.860000000000000142e+01,-3.246312408709453035e-01,1.013960405773079776e+00
-1.853999999999999915e+01,-3.235840433197486599e-01,1.014347229458856470e+00
-1.848000000000000043e+01,-3.225368457685521273e-01,1.014734732949762464e+00
-1.842000000000000171e+01,-3.214896482173555392e-01,1.015122897947215330e+00
-1.835999999999999943e+01,-3.204424506661588956e-01,1.015511705540652398e+00
-1.830000000000000071e+01,-3.193952531149623075e-01,1.015901136191683873e+00
-1.824000000000000199e+01,-3.183480555637657194e-01,1.016291169717850718e+00
-1.817999999999999972e+01,-3.173008580125691314e-01,1.016681785275973304e+00
-1.812000000000000099e+01,-3.162536604613725433e-01,1.017072961345085069e+00
-1.806000000000000227e+01,-3.152064629101759552e-01,1.017464675708936728e+00
-1.800000000000000000e+01,-3.141592653589793116e-01,1.017856905438062398e+00
-1.794000000000000128e+01,-3.131120678077827235e-01,1.018249626871397640e+00
-1.788000000000000256e+01,-3.120648702565861909e-01,1.018642815597436302e+00
-1.782000000000000028e+01,-3.110176727053895473e-01,1.019036446434915977e+00
-1.775999999999999801e+01,-3.099704751541929038e-01,1.019430493413020278e+00
-1.770000000000000284e+01,-3.089232776029963712e-01,1.019824929751085296e+00
-1.764000000000000057e+01,-3.078760800517997276e-01,1.020219727837799795e+00
-1.757999999999999829e+01,-3.068288825006030840e-01,1.020614859209884040e+00
-1.751999999999999957e+01,-3.057816849494065514e-01,1.021010294530236617e+00
-1.746000000000000085e+01,-3.047344873982099633e-01,1.021406003565535681e+00
-1.739999999999999858e+01,-3.036872898470133197e-01,1.021801955163279763e+00
-1.733999999999999986e+01,-3.026400922958167317e-01,1.022198117228257930e+00
-1.728000000000000114e+01,-3.015928947446201436e-01,1.022594456698430188e+00
-1.721999999999999886e+01,-3.005456971934235555e-01,1.022990939520209031e+00
-1.716000000000000014e+01,-2.994984996422269674e-01,1.023387530623124597e+00
-1.710000000000000142e+01,-2.984513020910303793e-01,1.023784193893857442e+00
-1.703999999999999915e+01,-2.974041045398337357e-01,1.024180892149628708e+00
-1.698000000000000043e+01,-2.963569069886371476e-01,1.024577587110924171e+00
-1.692000000000000171e+01,-2.953097094374406151e-01,1.024974239373543927e+00
-1.685999999999999943e+01,-2.942625118862439715e-01,1.025370808379957754e+00
-1.680000000000000071e+01,-2.932153143350473834e-01,1.025767252389947926e+00
-1.674000000000000199e+01,-2.921681167838507953e-01,1.026163528450526607e+00
-1.667999999999999972e+01,-2.911209192326541517e-01,1.026559592365106965e+00
-1.662000000000000099e+01,-2.900737216814575636e-01,1.026955398661911767e+00
-1.656000000000000227e+01,-2.890265241302610311e-01,1.027350900561601055e+00
-1.650000000000000000e+01,-2.879793265790643875e-01,1.027746049944100903e+00
-1.644000000000000128e+01,-2.869321290278677994e-01,1.028140797314613719e+00
-1.638000000000000256e+01,-2.858849314766712113e-01,1.028535091768790988e+00
-1.632000000000000028e+01,-2.848377339254745677e-01,1.028928880957048708e+00
-1.625999999999999801e+01,-2.837905363742779241e-01,1.029322111048007082e+00
-1.620000000000000284e+01,-2.827433388230814471e-01,1.029714726691031146e+00
-1.614000000000000057e+01,-2.816961412718848035e-01,1.030106670977853911e+00
-1.607999999999999829e+01,-2.806489437206881599e-01,1.030497885403260483e+00
-1.602000000000000313e+01,-2.796017461694916273e-01,1.030888309824810278e+00
-1.596000000000000085e+01,-2.785545486182949837e-01,1.031277882421578029e+00
-1.590000000000000036e+01,-2.775073510670983956e-01,1.031666539651887593e+00
-1.583999999999999986e+01,-2.764601535159018075e-01,1.032054216210018804e+00
-1.578000000000000114e+01,-2.754129559647052194e-01,1.032440844981863171e+00
-1.572000000000000064e+01,-2.743657584135086314e-01,1.032826356999504869e+00
-1.566000000000000014e+01,-2.733185608623119878e-01,1.033210681394703512e+00
-1.560000000000000142e+01,-2.722713633111154552e-01,1.033593745351252480e+00
-1.554000000000000092e+01,-2.712241657599188116e-01,1.033975474056192168e+00
-1.548000000000000043e+01,-2.701769682087222235e-01,1.034355790649848617e+00
-1.541999999999999993e+01,-2.691297706575256354e-01,1.034734616174675548e+00
-1.536000000000000121e+01,-2.680825731063290474e-01,1.035111869522870265e+00
