slip_ratio,normalized_fx
-5.540000000000000480e-01,-7.309715502918113783e-01
-5.520000000000000462e-01,-7.319472352073604915e-01
-5.500000000000000444e-01,-7.329270114253183532e-01
-5.480000000000000426e-01,-7.339109000493558854e-01
-5.460000000000000409e-01,-7.348989222502246843e-01
-5.440000000000000391e-01,-7.358910992639644544e-01
-5.420000000000000373e-01,-7.368874523900306173e-01
-5.400000000000000355e-01,-7.378880029893311043e-01
-5.380000000000000338e-01,-7.388927724821764409e-01
-5.360000000000000320e-01,-7.399017823461324639e-01
-5.340000000000000302e-01,-7.409150541137805579e-01
-5.320000000000000284e-01,-7.419326093703726421e-01
-5.300000000000000266e-01,-7.429544697513882356e-01
-5.280000000000000249e-01,-7.439806569399803893e-01
-5.260000000000000231e-01,-7.450111926643114835e-01
-5.240000000000000213e-01,-7.460460986947752282e-01
-5.220000000000000195e-01,-7.470853968410983148e-01
-5.200000000000000178e-01,-7.481291089493197211e-01
-5.180000000000000160e-01,-7.491772568986416747e-01
-5.160000000000000142e-01,-7.502298625981509428e-01
-5.140000000000000124e-01,-7.512869479834014541e-01
-5.120000000000000107e-01,-7.523485350128559235e-01
-5.100000000000000089e-01,-7.534146456641807044e-01
-5.080000000000000071e-01,-7.544853019303920938e-01
-5.060000000000000053e-01,-7.555605258158412108e-01
-5.040000000000000036e-01,-7.566403393320391135e-01
-5.020000000000000018e-01,-7.577247644933154946e-01
-5.000000000000000000e-01,-7.588138233122987408e-01
-4.979999999999999982e-01,-7.599075377952195787e-01
-4.959999999999999964e-01,-7.610059299370259822e-01
-4.939999999999999947e-01,-7.621090217163056790e-01
-4.919999999999999929e-01,-7.632168350900089271e-01
-4.899999999999999911e-01,-7.643293919879620146e-01
-4.879999999999999893e-01,-7.654467143071683743e-01
-4.859999999999999876e-01,-7.665688239058848774e-01
-4.839999999999999858e-01,-7.676957425974714200e-01
-4.819999999999999840e-01,-7.688274921439958165e-01
-4.799999999999999822e-01,-7.699640942495998841e-01
-4.779999999999999805e-01,-7.711055705535994065e-01
-4.759999999999999787e-01,-7.722519426233289686e-01
-4.739999999999999769e-01,-7.734032319467032401e-01
-4.719999999999999751e-01,-7.745594599244994827e-01
-4.699999999999999734e-01,-7.757206478623400736e-01
-4.679999999999999716e-01,-7.768868169623743825e-01
-4.659999999999999698e-01,-7.780579883146375719e-01
-4.639999999999999680e-01,-7.792341828880864352e-01
-4.619999999999999662e-01,-7.804154215212898427e-01
-4.599999999999999645e-01,-7.816017249127698019e-01
-4.579999999999999627e-01,-7.827931136109731458e-01
-4.559999999999999609e-01,-7.839896080038671888e-01
-4.539999999999999591e-01,-7.851912283081389221e-01
-4.519999999999999574e-01,-7.863979945579867570e-01
-4.499999999999999556e-01,-7.876099265934903837e-01
-4.479999999999999538e-01,-7.888270440485400936e-01
-4.459999999999999520e-01,-7.900493663383114651e-01
-4.439999999999999503e-01,-7.912769126462678715e-01
-4.419999999999999485e-01,-7.925097019106738250e-01
-4.399999999999999467e-01,-7.937477528105971736e-01
-4.379999999999999449e-01,-7.949910837513870510e-01
-4.359999999999999432e-01,-7.962397128496038201e-01
-4.339999999999999414e-01,-7.974936579173786955e-01
-4.319999999999999396e-01,-7.987529364461863901e-01
-4.299999999999999378e-01,-8.000175655900048088e-01
-4.279999999999999361e-01,-8.012875621478393606e-01
-4.259999999999999343e-01,-8.025629425455871324e-01
-4.239999999999999325e-01,-8.038437228172174986e-01
-4.220000000000000417e-01,-8.051299185852397455e-01
-4.200000000000000400e-01,-8.064215450404329522e-01
-4.180000000000000382e-01,-8.077186169208084854e-01
-4.160000000000000364e-01,-8.090211484897751326e-01
-4.140000000000000346e-01,-8.103291535134760082e-01
-4.120000000000000329e-01,-8.116426452372637046e-01
-4.100000000000000311e-01,-8.129616363612851559e-01
-4.080000000000000293e-01,-8.142861390151319156e-01
